Sample in Buffer,Sample in Window,TRIGGER,rx_test_i/system_ila_2/inst/net_slot_0_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_0_axis_tkeep[15:0],rx_test_i/system_ila_2/inst/net_slot_0_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_0_axis_tready,rx_test_i/system_ila_2/inst/net_slot_0_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_1_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_1_axis_tkeep[15:0],rx_test_i/system_ila_2/inst/net_slot_1_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_1_axis_tready,rx_test_i/system_ila_2/inst/net_slot_1_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_2_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_2_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_2_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_3_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_3_axis_tstrb[15:0],rx_test_i/system_ila_2/inst/net_slot_3_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_3_axis_tready,rx_test_i/system_ila_2/inst/net_slot_3_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_4_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_4_axis_tstrb[15:0],rx_test_i/system_ila_2/inst/net_slot_4_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_4_axis_tready,rx_test_i/system_ila_2/inst/net_slot_4_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s2)_(tlast_gen_0_m_axis)[2:0],Interface_(i1:s3)_(cfo_correction_0_m_axis)[2:0],Interface_(i1:s4)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(tlast_gen_0_m_axis)[2:0],T_Channel_(i1:s3)_(cfo_correction_0_m_axis)[2:0],T_Channel_(i1:s4)_(axis_data_fifo_1_M_AXIS)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000040280000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037235a00002328,0,0,000000000000000000000005dc000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
1,1,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
2,2,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
3,3,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,0,0,1,00a20202000e2027003723280000232a,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
4,4,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
5,5,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
6,6,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
7,7,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
8,8,0,00000000080000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e30270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
9,9,0,00000000280000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
10,10,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
11,11,0,00000040280000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
